TGME49.ID,TGGT1.ID,score
TGME49_200010,TGGT1_200010,2.54
TGME49_200360,TGGT1_200360,2.63
TGME49_201130,TGGT1_201130,-0.18
TGME49_201180,TGGT1_201180A,0.79
TGME49_201180,TGGT1_201180B,0.84
TGME49_201520,TGGT1_201520,-0.25
TGME49_201630,TGGT1_201630A,-0.06
TGME49_201630,TGGT1_201630B,1.65
TGME49_202200,TGGT1_202200,-1.41
TGME49_202420,TGGT1_202420,-0.43
TGME49_202610,TGGT1_202610,0.96
TGME49_202620,TGGT1_202620,0.94
TGME49_202780,TGGT1_202780,-1.58
TGME49_203290,TGGT1_203290,2.26
TGME49_203310,TGGT1_203310,1.9
TGME49_203600,TGGT1_203600,2.29
TGME49_203790,TGGT1_203790,1.07
TGME49_203930,TGGT1_203930,-0.1
TGME49_203990,TGGT1_203990,1.63
TGME49_204320,TGGT1_204320,0.84
TGME49_204340,TGGT1_204340,1.54
TGME49_205250,TGGT1_205250,0.89
TGME49_205360,TGGT1_205360,-1.59
TGME49_207610,TGGT1_207610,1.01
TGME49_207700,TGGT1_207700,-0.76
TGME49_208070,TGGT1_208070,-4.77
TGME49_208370,TGGT1_208370,1.79
TGME49_208450,TGGT1_208450,2.04
TGME49_208730,TGGT1_208730,1.09
TGME49_208740,TGGT1_208740,2.46
TGME49_208830,TGGT1_208830,2.28
TGME49_209170,TGGT1_209170,0.82
TGME49_210370,TGGT1_210370,1.07
TGME49_210820,TGGT1_210820,-2.68
TGME49_211260,TGGT1_211260,0.68
TGME49_211290,TGGT1_211290,0.16
TGME49_211460,TGGT1_211460,0.25
TGME49_212300,TGGT1_212300,0.69
TGME49_213069,TGGT1_213069,-3.13
TGME49_214080,TGGT1_214080,1.56
TGME49_214410,TGGT1_363940,2.77
TGME49_215220,TGGT1_215220,1.04
TGME49_215360,TGGT1_215360,2.23
TGME49_215775,TGGT1_215775,1.08
TGME49_215910,TGGT1_215910,-0.79
TGME49_217400,TGGT1_217400,-0.16
TGME49_217430,TGGT1_217430,1.02
TGME49_217530,TGGT1_217530,2.13
TGME49_217680,TGGT1_217680,0.99
TGME49_218270,TGGT1_218270,2.01
TGME49_219810,TGGT1_219810,0.69
TGME49_220240,TGGT1_220240,0.9
TGME49_220950,TGGT1_410360,1.95
TGME49_220950,TGGT1_220950,2.13
TGME49_221210,TGGT1_221210,-1.6
TGME49_222100,TGGT1_222100,0.35
TGME49_222170,TGGT1_222170,-2.93
TGME49_223920,TGGT1_223920,-4.41
TGME49_225150,TGGT1_225150,0.53
TGME49_225160,TGGT1_225160,2.07
TGME49_225200,TGGT1_225200,-2.54
TGME49_225320,TGGT1_225320,0.64
TGME49_225330,TGGT1_225330,0.39
TGME49_225860,TGGT1_225860,-1.35
