"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh","Naor_2018_significant_genes_avg_log2FC"
"MYR1","BIRC3",-2.52008800973908,0.079,0.913,1.12592606158043e-90,2.20805359936537e-86,NA
"MYR1","HSP90AA1",-1.6425440319117,1,1,1.31110501194234e-88,1.28560401946006e-84,NA
"MYR1","PTMA",-2.31701594459845,1,1,1.99090567365615e-88,1.30145503886902e-84,-1.38870644014303
"MYR1","PHLDA2",-2.71920440762159,0.975,1,1.55246123473442e-87,7.61132931859419e-84,NA
"MYR1","ARNTL2",-2.21555419379803,0.279,0.974,2.25265982387644e-86,8.83538236120815e-83,NA
"MYR1","MARCKSL1",-2.32807799070025,0.552,0.991,1.79884966900613e-83,5.14660795200703e-80,-2.08205285373851
"MYR1","PPIA",-0.986247455960845,1,1,1.83704327489925e-83,5.14660795200703e-80,NA
"MYR1","EZH2",-2.04193713090427,0.163,0.917,5.04639387826961e-82,1.23706037933432e-78,-2.0054076985865
"MYR1","HSPE1",-1.34281827565416,0.997,1,3.58026708761392e-81,7.80140198391074e-78,NA
"MYR1","STMN1",-2.19903675501337,0.963,1,1.03608655749126e-79,2.03186934789611e-76,-1.53797872882589
"MYR1","ANXA1",1.83419694365822,1,0.983,3.45829831340938e-79,6.16551711129739e-76,NA
"MYR1","RAN",-1.10635456403413,1,1,1.10442836467315e-76,1.8049120549671e-73,NA
"MYR1","FTL",1.4864016676041,1,1,4.08970178114314e-76,6.16947243307678e-73,NA
"MYR1","RANBP1",-1.39924582967736,0.946,1,1.03634281338573e-74,1.4516942080934e-71,-1.15126844349747
"MYR1","THBS1",1.49784784035649,1,0.996,5.49002419011704e-74,7.17765762615901e-71,NA
"MYR1","GPR183",-1.97370504397925,0.048,0.773,9.16872061426501e-74,1.12379862478969e-70,NA
"MYR1","DCBLD2",-1.86659314021366,0.842,1,1.25751782276383e-73,1.45065776601302e-70,NA
"MYR1","CCNE2",-1.35856628518928,0.037,0.76,1.64829698394521e-73,1.7958195640083e-70,-4.71589337054761
"MYR1","DCTPP1",-1.74416038322533,0.332,0.939,3.10188236165246e-73,3.20163236812455e-70,-1.96735641545769
"MYR1","TENM4",-2.01431058751732,0.228,0.917,8.52204622672994e-73,8.35629242762004e-70,NA
"MYR1","PDLIM2",1.59463523579449,0.997,0.838,9.92143448458569e-73,9.26520246081952e-70,NA
"MYR1","HSPD1",-1.29295829061395,0.98,1,1.29357625866482e-72,1.15310563675799e-69,NA
"MYR1","C17orf58",-2.15508378430606,0.645,0.983,3.28506063216202e-72,2.8010140894491e-69,-1.72485188641221
"MYR1","H3F3A",-1.01955194725758,1,1,3.76986520026055e-71,3.0804511017629e-68,-1.13160437358669
"MYR1","DEK",-1.32152023464932,0.949,1,1.91531549730472e-70,1.50245008870572e-67,NA
"MYR1","NPM1",-0.776057636509174,1,1,4.62670354921321e-70,3.48978012706232e-67,NA
"MYR1","REXO2",1.06835568910118,1,0.983,1.43143776216379e-69,1.03970096125164e-66,NA
"MYR1","NETO2",-1.60339850209879,0.11,0.803,6.40854851533538e-69,4.48850160479436e-66,-2.56751736626175
"MYR1","MALAT1",0.708383190274365,1,1,1.37357038932267e-68,9.28865134655408e-66,NA
"MYR1","HELLS",-1.40227360246985,0.121,0.83,8.82233882773859e-68,5.68402466362936e-65,-2.83583009066808
"MYR1","AHNAK",1.57281174973999,0.986,0.651,8.9849964087762e-68,5.68402466362936e-65,NA
"MYR1","FABP5",-2.22502526022168,0.468,0.948,1.42543815342127e-67,8.73570863335768e-65,-3.85315861167073
"MYR1","HNRNPA2B1",-1.06802544006795,1,1,2.48611046654874e-67,1.47742764725719e-64,NA
"MYR1","TKT",1.41267224575072,1,0.996,3.22705781564966e-67,1.86134796537369e-64,NA
"MYR1","CLSPN",-1.50727086935084,0.054,0.747,5.84326366074995e-67,3.27406410431335e-64,-2.60362634498619
"MYR1","SNRPD1",-1.09236532372115,0.975,1,8.50589224892092e-67,4.63358480259967e-64,NA
"MYR1","TYMS",-1.78130525272384,0.637,0.991,2.0032957181956e-66,1.06180087377118e-63,-2.38060400221497
"MYR1","HES4",-1.87469853308806,0.715,0.974,7.33103007857433e-66,3.78339028607687e-63,-2.19410337690502
"MYR1","CSRP1",-1.3396497642584,0.994,1,1.02588524099593e-65,5.15862447722337e-63,-0.635213350755669
"MYR1","HNRNPAB",-1.31083629415438,0.885,1,1.10148538751344e-65,5.40030748363151e-63,-1.14183097756319
"MYR1","LRRC8B",-1.25238652585068,0.023,0.681,1.60390732710767e-65,7.67176258339234e-63,-3.75899190049621
"MYR1","NCALD",-1.65118368655727,0.056,0.725,4.04865316332818e-65,1.89043183776259e-62,NA
"MYR1","PAICS",-1.41369932063735,0.656,0.978,7.74637809248497e-65,3.53288885515634e-62,-1.38617719090237
"MYR1","NRG1",-2.1398909818074,0.668,0.987,1.35618407599345e-64,6.04457407143352e-62,-1.22529231184224
"MYR1","TRAF1",-1.45593360178114,0.031,0.681,2.65407420619226e-64,1.15664553905859e-61,-2.11578631116314
"MYR1","C3orf14",-1.60170519648754,0.611,0.965,5.3933372496117e-64,2.29932036526381e-61,NA
"MYR1","TFPI2",-2.39517458187491,0.282,0.882,6.69945494228347e-64,2.79538321006641e-61,NA
"MYR1","NASP",-1.35560305402639,0.786,1,5.54396643963819e-63,2.26505678849468e-60,-2.19327548871969
"MYR1","PDLIM4",-1.42229358326106,0.961,0.996,8.93204846289282e-63,3.57482453889369e-60,NA
"MYR1","S100A6",0.991258886099533,1,1,1.15262598731733e-62,4.52082964745605e-60,NA
"MYR1","SEPT11",1.11726533451516,1,0.996,1.931225276222e-62,7.42612919450776e-60,NA
"MYR1","TUBA1B",-1.2602429122238,0.997,1,2.79227542406857e-62,1.05306371810401e-59,NA
"MYR1","PDLIM1",1.402148895311,0.994,0.908,3.25326798703904e-62,1.20377053761929e-59,NA
"MYR1","SLCO2A1",-1.21867602355522,0.045,0.703,3.91437691763229e-62,1.42157121725346e-59,NA
"MYR1","MXRA8",1.5507839055597,0.946,0.45,6.27315770293882e-62,2.23677992204242e-59,NA
"MYR1","TLCD1",-1.26032397592,0.239,0.886,8.86760331165749e-62,3.10540300973063e-59,NA
"MYR1","NOP56",-1.44282599888988,0.606,0.987,1.65650556591318e-61,5.69925099177605e-59,-1.39771424185573
"MYR1","SRSF7",-1.1784927781963,0.972,1,2.64687146191158e-61,8.94962004130137e-59,-1.32773891293229
"MYR1","KLHL23",-1.32371872015547,0.183,0.825,3.25244146432696e-61,1.08107846706637e-58,-4.2129937233342
"MYR1","TIPIN",-1.38593187599056,0.282,0.878,2.10741623590701e-60,6.88808996706206e-58,-2.83694171804595
"MYR1","COL1A1",0.950638920978411,1,1,2.49513925387951e-60,8.02166818161164e-58,NA
"MYR1","RAMP1",-1.61529460633301,0.944,0.996,1.68014581275557e-59,5.31046669310336e-57,-1.67343128858347
"MYR1","MT2A",-1.56890193747998,1,1,1.70597828599006e-59,5.31046669310336e-57,NA
"MYR1","HMGB1",-0.878853698677133,1,1,1.78291791834788e-59,5.46325051511254e-57,NA
"MYR1","ATP5MC1",-0.964776471228321,0.997,1,3.49233398635318e-59,1.05366402779034e-56,NA
"MYR1","DBI",-1.0373537820877,1,1,1.10796374934123e-58,3.29216319520165e-56,NA
"MYR1","MPG",1.10803913109076,0.997,0.869,1.16801858449486e-58,3.41880782992964e-56,NA
"MYR1","LDHB",-0.789396744891655,1,1,1.25977845958346e-58,3.63316402513106e-56,NA
