"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh"
"MYR1","TGME49_288380",-0.295264188788578,1,1,2.35660010183536e-14,1.54050948656977e-10
"MYR1","TGME49_273760",-0.385508052733313,0.992,1,1.71124467597639e-10,5.59320322342884e-07
"MYR1","TGME49_266070",0.172141423774666,1,1,4.82802692715018e-09,1.05202706742603e-05
"MYR1","TGME49_312480",-1.11312506452604,0.513,0.642,2.8129373050691e-06,0.00459704279080917
"MYR1","TGME49_216230",-0.195803911044714,0.206,0.358,7.32107070398345e-05,0.0957156783838796
"MYR1","TGME49_219750",0.116508621797109,1,1,0.000158929808748446,0.161822342549427
"MYR1","TGME49_232600",-0.122862607577313,0.048,0.135,0.000173283830173779,0.161822342549427
"MYR1","TGME49_213940",-0.124003837191315,1,1,0.000202017134212085,0.16507325079305
"MYR1","TGME49_233460",-0.107023539055858,1,1,0.000236332004321671,0.171655812472307
"MYR1","TGME49_218580",-0.155872949208674,0.096,0.201,0.000279618157438718,0.18278638951769
"MYR1","TGME49_278530",-0.219980263368212,0.966,0.978,0.00042195686839771,0.210252029564515
"MYR1","TGME49_278440",-0.152642474381789,0.239,0.384,0.000469048207220157,0.210252029564515
"MYR1","TGME49_291950",-0.196203248965132,0.313,0.45,0.000484228582783034,0.210252029564515
"MYR1","TGME49_233130",-0.0675188863054386,0.008,0.057,0.000485879320082868,0.210252029564515
"MYR1","TGME49_289690",-0.221231111086601,1,1,0.000490914328357971,0.210252029564515
"MYR1","TGME49_462890",0.219229449023269,0.975,0.948,0.000539511269674777,0.210252029564515
"MYR1","TGME49_262590",-0.219940782626831,0.414,0.55,0.000546777497720171,0.210252029564515
"MYR1","TGME49_313273",-0.110325033760542,0.073,0.162,0.000842361109213477,0.302361225620197
"MYR1","TGME49_318360",-0.201955194947323,0.344,0.485,0.000878822592440531,0.302361225620197
"MYR1","TGME49_316100",-0.137553150147561,0.183,0.301,0.000981952476396847,0.308407890124524
"MYR1","TGME49_310280",-0.193587185061889,0.285,0.415,0.00105161274157427,0.308407890124524
"MYR1","TGME49_311625",-0.115793665140419,0.093,0.188,0.00106182196835457,0.308407890124524
"MYR1","TGME49_252220",-0.217433927016257,0.515,0.638,0.00109052769742427,0.308407890124524
"MYR1","TGME49_286450",0.111292367849839,1,1,0.00113229147361,0.308407890124524
"MYR1","TGME49_314480",-0.141917290162023,0.189,0.31,0.0012632214885659,0.319292045847786
"MYR1","TGME49_204380",-0.117898253465342,0.07,0.153,0.00126993929815549,0.319292045847786
"MYR1","TGME49_261240",-0.141291071894561,0.121,0.218,0.00154241011545414,0.343763195974031
"MYR1","TGME49_321520",-0.0900595176358561,1,1,0.00155803544731536,0.343763195974031
"MYR1","TGME49_224320",-0.0807207045958019,0.028,0.087,0.00158343098382599,0.343763195974031
"MYR1","TGME49_294812",-0.128493368704541,0.127,0.227,0.00161777833774221,0.343763195974031
"MYR1","TGME49_245650",-0.134352185521701,0.13,0.231,0.00163020637527841,0.343763195974031
"MYR1","TGME49_231430",-0.213612216063848,0.29,0.41,0.00169280165033778,0.345807637133065
"MYR1","TGME49_203290",0.611560135805088,0.575,0.498,0.00175607688882993,0.347862867341856
"MYR1","TGME49_257350",-0.163090440484682,0.989,0.987,0.00192475001899561,0.370061496299244
"MYR1","TGME49_271880",0.203830146627475,0.296,0.183,0.00203075582128821,0.372153772616067
"MYR1","TGME49_283550",-0.11626593757457,0.068,0.144,0.00212253162072942,0.372153772616067
"MYR1","TGME49_263610",-0.116973745237044,0.203,0.323,0.00214947908209072,0.372153772616067
"MYR1","TGME49_225555",0.133846471289979,1,1,0.00216335373403864,0.372153772616067
"MYR1","TGME49_231600",-0.0555462446393626,0.008,0.048,0.0022909761099342,0.382821847925483
"MYR1","TGME49_221260",-0.150707813215444,0.259,0.38,0.00234249256800051,0.382821847925483
"MYR1","TGME49_270380",0.122148559992154,1,1,0.00240599548258156,0.383609572430138
"MYR1","TGME49_291140",-0.199784199953843,0.594,0.69,0.00248130971508709,0.386198133512484
"MYR1","TGME49_248260",-0.143669872344202,0.177,0.284,0.00255645844263311,0.388641135802154
"MYR1","TGME49_244920",-0.0887852011524634,0.059,0.131,0.0028976973872192,0.407609526478735
"MYR1","TGME49_214480",-0.149086630663077,0.608,0.725,0.00291106368431741,0.407609526478735
"MYR1","TGME49_211730",-0.126286038958061,0.262,0.389,0.00291513319381422,0.407609526478735
"MYR1","TGME49_237460",-0.117373732448516,0.099,0.183,0.00293064827053703,0.407609526478735
"MYR1","TGME49_223845",-0.0804530241888597,0.037,0.096,0.00315773406830536,0.430043908427336
"MYR1","TGME49_217555",0.147389243683176,0.966,0.965,0.00353399912515076,0.455989649033146
"MYR1","TGME49_292010",-0.140618329965426,0.208,0.314,0.00354984478756124,0.455989649033146
"MYR1","TGME49_256060",-0.168278433564078,0.38,0.511,0.00386324012005865,0.455989649033146
"MYR1","TGME49_215890",-0.111305576154914,0.059,0.127,0.00391000490911131,0.455989649033146
"MYR1","TGME49_205720",-0.140716979152848,0.231,0.341,0.00393007534169979,0.455989649033146
