"","target","gene","avg_log2FC","p_val","p_val_bh"
"1","HCE1","EZH2",-1.02453943628629,5.27040470938911e-13,2.23786861531163e-09
"2","HCE1","DEK",-0.513792079923627,8.3502560272822e-13,2.23786861531163e-09
"3","HCE1","MARCKSL1",-0.775947302735062,4.90771340819262e-12,8.76844795597082e-09
"4","HCE1","WDR76",-0.937485147586955,5.91664032736027e-11,6.23427569772752e-08
"5","HCE1","TYMS",-1.06195902372612,6.27291709817434e-11,6.23427569772752e-08
"6","HCE1","HELLS",-0.938848649795806,6.97866682581439e-11,6.23427569772752e-08
"7","HCE1","PLP2",-0.625023556307587,8.29287191615555e-11,6.34997049579911e-08
"8","HCE1","SYNE2",-0.946387414772642,1.71158130668288e-10,1.14675947547753e-07
"9","HCE1","MCM7",-0.776811123135307,4.98121704640147e-10,2.96659148541243e-07
"10","HCE1","MCM3",-0.721444848969272,1.2144758754109e-09,6.50959069220242e-07
"11","HCE1","NAP1L1",-0.144344876022224,1.46345091717293e-09,6.82840440412621e-07
"12","HCE1","RAD51B",-0.702303709229964,1.52874725465512e-09,6.82840440412621e-07
"13","HCE1","CDCA7",-0.746429582741856,4.97422119671498e-09,2.05090966264556e-06
"14","HCE1","RBL1",-0.741094588772229,5.62314327147732e-09,2.15286056679417e-06
"15","HCE1","NASP",-0.488469916364321,1.07006920061806e-08,3.82371394354187e-06
"16","HCE1","H3F3A",-0.177852422630066,1.16059844429406e-08,3.88800478838511e-06
"17","HCE1","KNTC1",-0.662744944754585,1.48087431836148e-08,4.55487411555508e-06
"18","HCE1","STMN1",-0.481068343765382,1.52962190447745e-08,4.55487411555508e-06
"19","HCE1","CDT1",-0.721613376830438,1.6423007910696e-08,4.63301696849108e-06
"20","HCE1","ATP6V1G1",0.206777609584867,1.77517500739518e-08,4.75746901981908e-06
"21","HCE1","CBX5",-0.29903227483702,1.8711477144083e-08,4.77588178534691e-06
"22","HCE1","MCM5",-0.696863250629956,2.06949784119027e-08,5.04204928580901e-06
"23","HCE1","CCNE2",-0.750592955703946,3.48650603648716e-08,8.12507493720485e-06
"24","HCE1","WDHD1",-0.741118444613583,3.63846900594323e-08,8.12591411327322e-06
"25","HCE1","HSP90AA1",-0.141751638190154,3.92224560304694e-08,8.40929457293264e-06
"26","HCE1","TAX1BP1",0.20788696818144,9.18332242075175e-08,1.86464368197743e-05
"27","HCE1","ZYX",0.296129503879166,9.49701097129726e-08,1.86464368197743e-05
"28","HCE1","STAG1",-0.229845555102538,9.82147538504067e-08,1.86464368197743e-05
"29","HCE1","HMGN2",-0.265815435665721,1.00885572345794e-07,1.86464368197743e-05
"30","HCE1","PRIM1",-0.560195144087053,1.17258660326249e-07,2.09502139782898e-05
"31","HCE1","LMNB1",-0.649748780857151,1.24128665774192e-07,2.14622467274087e-05
"32","HCE1","PTMA",-0.144533266641298,1.37822776324314e-07,2.30853150343225e-05
"33","HCE1","POLE2",-0.639438334455634,1.52565628541864e-07,2.47803566358906e-05
"34","HCE1","NPAT",-0.559098795155728,1.66117682130975e-07,2.61879640065302e-05
"35","HCE1","HMGB1",-0.157054043875935,3.37202655655447e-07,5.16401781232342e-05
"36","HCE1","RBBP4",-0.277393886161646,3.96120560985622e-07,5.89779501911926e-05
