"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"ROP17",187.908118275872,0,0,68,"Control effector"
"GRA24",538.617138652546,0,0,244,"Control effector"
"MSF",34.8673187822172,0.0210497424683783,0.155532536210864,84,"Non-significant"
"297910",22.3225804940705,0.32433679094527,0.67753307070926,97,"Non-significant"
"262920",32.1335611031795,0.0422699467419043,0.233761453956688,39,"Non-significant"
"ROP34_WNG2",44.8995338308892,0.00116105483144247,0.0128220837907124,345,"Non-significant"
"ROP29",14.351798124151,0.812783864061607,0.933823079550738,199,"Non-significant"
"280380",17.8716776667413,0.5968199233497,0.867673190316571,216,"Non-significant"
"ROP1",39.8228276645506,0.00533812556520141,0.0502179219837466,294,"Non-significant"
"ROP9",93.0041592384946,2.41229258790554e-11,4.37658798091434e-10,114,"Significant"
"RON6",20.9638569296959,0.400353251809787,0.735555251098821,96,"Non-significant"
"ROP54",19.1328412050977,0.514249933453893,0.816371769358056,95,"Non-significant"
"GRA46",43.9200069664093,0.00157141472850153,0.0166308058766412,145,"Non-significant"
"222100",519.587566620133,0,0,237,"New effector"
"ROP45",15.3300762850331,0.757906430138051,0.915217711443468,228,"Non-significant"
"MCP4",20.123190241024,0.451327524293025,0.744397345262521,204,"Non-significant"
"GRA45",337.022853464704,0,0,96,"Control effector"
"GRA8",20.367641372272,0.436238257173579,0.737954720435355,171,"Non-significant"
"MAG1",15.0777649313502,0.772596296776523,0.91700681953849,71,"Non-significant"
"309760",27.1941471388836,0.130642895857206,0.460879104829586,346,"Non-significant"
"GRA7",91.9660817884759,3.66588981393079e-11,6.20757341825614e-10,331,"Significant"
"GRA54",25.8365343521707,0.172142742662688,0.532760149751541,205,"Non-significant"
"GRA18",18.2750225898242,0.570286727791182,0.847092566426667,262,"Non-significant"
"205360",21.1339783204347,0.390375232564641,0.72376138008335,89,"Non-significant"
"269950",25.7096628340085,0.176490220022959,0.532760149751541,17,"Non-significant"
"ROP48",13.2252890670307,0.86793248201889,0.955918082554657,147,"Non-significant"
"GRA35",18.5387841863928,0.552969656183255,0.841043668685908,156,"Non-significant"
"GRA2",20.9270455816784,0.402528267333607,0.735555251098821,404,"Non-significant"
"225330",22.1207674125111,0.335069860642591,0.67753307070926,194,"Non-significant"
"GRA16",113.468458343963,5.21804821573824e-15,1.10448687233126e-13,71,"Control effector"
"277230",14.4647389855093,0.806750803850259,0.933823079550738,22,"Non-significant"
"ROP24",36.3715061678397,0.0140726004034564,0.123256569050963,167,"Non-significant"
"268970",34.7945644951773,0.0214566656023323,0.155532536210864,160,"Non-significant"
