"target","t2.stat","p.value","p.value.bh","n.cells"
"ROP17",156.203013161952,0,0,45
"GRA24",375.885884229383,0,0,159
"MSF",26.3341902222166,0.156357719467574,0.53246142305174,55
"297910",21.2997603203263,0.381401292427972,0.735978201302121,70
"262920",33.8666781553607,0.0274756816695181,0.223350702603824,27
"ROP34_WNG2",31.4981971705774,0.0496048625129031,0.312510633831289,226
"ROP29",16.7362832555348,0.671367641855237,0.877195591514439,134
"280380",16.0866254324015,0.712463567889744,0.886363185263344,131
"ROP1",27.2687638933709,0.129050330516339,0.497888655333723,186
"ROP9",72.7974637671056,6.89639428896882e-08,1.22665926749477e-06,85
"RON6",18.9691871427536,0.525461718741942,0.862616766981612,60
"ROP54",18.0050870007277,0.588602594739788,0.862616766981612,63
"GRA46",30.7158882122984,0.0597986227512328,0.358791736507397,64
"222100",297.800218565073,0,0,136
"ROP45",18.5593654349047,0.552203970637555,0.862616766981612,145
"MCP4",18.4707899142143,0.558008686485612,0.862616766981612,136
"GRA45",299.597527023009,0,0,60
"GRA8",21.8835119496506,0.34857217692228,0.725951971772022,115
"MAG1",24.9183704727699,0.206044837632249,0.580592536211793,51
"309760",40.4733555896022,0.00445723363116968,0.0468009531272816,218
"GRA7",72.6464000405773,7.30154325889742e-08,1.22665926749477e-06,204
"GRA54",16.0616607662322,0.714014788128805,0.886363185263344,119
"GRA18",13.169028819248,0.870670115372629,0.95659613211767,176
"205360",12.5013482101518,0.898273496201404,0.95659613211767,53
"269950",18.2464570509891,0.572735346199131,0.862616766981612,11
"ROP48",13.1963640427861,0.869461613090422,0.95659613211767,94
"GRA35",27.6507216572355,0.11905823779444,0.491847146298343,110
"GRA2",24.5855543692488,0.219258155598321,0.596100073609661,264
"225330",23.4638049879915,0.268213882403349,0.627404583659229,124
"GRA16",72.7676154450693,6.9727632334704e-08,1.22665926749477e-06,46
"277230",23.518086795884,0.265687674247827,0.627404583659229,13
"ROP24",46.0953121458062,0.000808042625850103,0.0107171969323277,108
"268970",39.0769109366777,0.00666995117164648,0.0646472190482659,105
"308950",28.0538370798673,0.109207342476949,0.465861074310208,118
"GRA3",43.9386656991293,0.00157927625504872,0.0189513150605847,615
"244250",18.7674342429987,0.538599689153433,0.862616766981612,43
"ROP19A",13.8177741116495,0.840395467216801,0.95659613211767,110
"MYR1",521.640886516075,0,0,122
"GRA11B",18.3681142484485,0.564745184739054,0.862616766981612,171
"ROP30",24.0782200364342,0.240552761071887,0.608382563050717,93
"236860",15.075836172653,0.773085449805884,0.932141307899918,19
"Toxofilin",16.3213253100559,0.697770589957025,0.886363185263344,28
"PP2CHN",18.0750527378553,0.584002213861323,0.862616766981612,36
"RON12",24.9785209281089,0.203720243146282,0.580592536211793,80
"ROP39",15.3552528845807,0.756820540355933,0.921346744781136,188
"ROP40",17.8267084162287,0.600329225297859,0.864474084428917,55
"EFPP",21.7305693118152,0.35701958564467,0.729853628127115,18
"ROP20",25.4968938902034,0.1844836375341,0.580592536211793,94
"GRA21",28.725551968596,0.0942941739513016,0.416879505889965,126
"268760",20.4272343052525,0.43321874407031,0.797001817785616,169
"NTPaseII",17.4074447000636,0.627828043648862,0.869300368129193,339
"ROP6",16.7688457731158,0.669276019282112,0.877195591514439,78
"294630",12.6213903664852,0.893585775992373,0.95659613211767,8
"248510",22.3414427447401,0.323962964748111,0.706818579542214,75
"217530",31.5906048684628,0.0485081772243141,0.312510633831289,127
"GRA34",19.4023404891196,0.497494229361644,0.84708476891307,92
"WIP",18.295136820739,0.569537274420522,0.862616766981612,63
"ROP8",28.5414605494443,0.098201080937026,0.426666765450527,366
"GRA9",31.7304742213868,0.0468889742641529,0.310947934593856,160
"HCE1",121.123918583444,2.22044604925031e-16,6.99440505513849e-15,99
"309600",30.4676724257425,0.0633945708256204,0.363077996546735,63
"305250",16.6749316673,0.67530136807064,0.877195591514439,19
"203790",31.2316641604473,0.0528915225001692,0.325089357805918,101
"225160",16.2990269597922,0.699174685884914,0.886363185263344,82
"297160",17.5960069835174,0.615477165799867,0.869300368129193,32
"202620",29.4759783832597,0.0796943096961722,0.41196486022882,258
"266050",26.8339820225661,0.141236674594511,0.514527253000777,49
"MYR2",202.008610990915,0,0,118
"GRA23",14.6816400090749,0.795279976572667,0.940894620170479,90
"ROP11",23.0443418675489,0.288269727654406,0.657277884374906,46
"LCAT",21.5256883736135,0.368508726261317,0.731214165494896,85
"225200",18.8254487095809,0.534815852397211,0.862616766981612,65
"247530",23.5105255674797,0.266038609848268,0.627404583659229,124
"297650",27.9816902900672,0.110919303407192,0.465861074310208,21
"210095",27.219047361353,0.130399409730261,0.497888655333723,36
"ROP31",35.2348200361556,0.0192232732973668,0.161475495697881,72
"GRA20",18.1179447955032,0.581182177720275,0.862616766981612,110
"ROP32",19.4739983072732,0.492905437238927,0.844980749552446,82
"GRA25",57.3403758777703,1.92062587243136e-05,0.000284704541089825,129
"305590",12.34764932847,0.904096845171781,0.957279012534827,12
"ROP15",29.1760736650604,0.0852806351461447,0.414694591094329,36
"PPM3F",17.8984098623611,0.595616339106351,0.862616766981612,49
"275460",21.3158837668246,0.380473626994943,0.735978201302121,44
"ROP16",54.9257526646289,4.41796740190403e-05,0.000618515436266565,80
"237180",29.0500122362788,0.0877260868829666,0.414694591094329,40
"315910",21.937862529222,0.345597347911438,0.72575443061402,51
"258462",16.6945252331162,0.674046105720668,0.877195591514439,16
"RON1",17.9384688903482,0.59298274143925,0.862616766981612,13
"GRA13",29.0095876623601,0.0885227327682253,0.414694591094329,15
"204320",37.0679153686267,0.0117143075211161,0.105428767690045,50
"215910",24.2487099806051,0.233240818389523,0.599762104430201,130
"GRA70",42.0350199593375,0.00281020197949378,0.0307900390796709,53
"202200",23.018924325405,0.289515258593708,0.657277884374906,28
"GRA12",21.6160771817027,0.363415859369537,0.729853628127115,103
"305270",14.0560989679383,0.828469466294007,0.95659613211767,27
"ROP25",24.3535003252241,0.228824957292078,0.599762104430201,84
"PPM3A",18.1735477302399,0.577526938218632,0.862616766981612,121
"GRA57",75.7043231883312,2.28374317234881e-08,4.79586066193249e-07,83
"309560",10.9853120691881,0.946900172415259,0.98602827871341,21
"242118",26.8612999930007,0.140444882290811,0.514527253000777,110
"IST",27.4170933440952,0.125083527702014,0.497888655333723,111
"PI_1",33.3576122225255,0.0312905246726651,0.246412881797238,23
"308970",16.0888074871046,0.712327871455183,0.886363185263344,134
"294970",19.7619014889189,0.474597250356504,0.824817290274753,111
"PPM3C",17.1051269157602,0.647536906196761,0.877195591514439,24
"252500",11.3259488847007,0.937672121392158,0.980470433986821,26
"ROP21",19.5845424044149,0.485850617298279,0.838591476432645,93
"262400",14.3294480298368,0.814291063304637,0.950006240522077,71
"217400",17.3310542416508,0.632820728438518,0.871425265390746,66
"MCP3",22.568382646149,0.312158325923405,0.69307465333375,29
"GRA47",23.7989024743967,0.252873638413097,0.624746636079416,60
"ROP12",30.5625761581556,0.061998066513276,0.363077996546735,119
"246130",28.7791841998796,0.0931807972804372,0.416879505889965,22
"ROP36",16.7400894839434,0.671123285571427,0.877195591514439,68
"GRA14",21.4071526982102,0.3752442727154,0.735978201302121,61
"ROP27",21.980959852651,0.343248659965292,0.72575443061402,93
"GRA49",25.1098673980925,0.198711342362048,0.580592536211793,27
"214410",8.76731976401839,0.985536662778665,0.993420956080894,46
"GRA6",21.6806640055246,0.359800050757552,0.729853628127115,34
"234950",23.296877304315,0.276082087786103,0.638281524055945,59
"247220",9.32420371308214,0.978964273099532,0.990759023377839,12
"PPM11C",18.4404846013016,0.559996212711691,0.862616766981612,118
"GRA59",76.3812522496337,1.76241287119794e-08,4.03752766856255e-07,67
"258360",26.7069284381721,0.144966011758155,0.514527253000777,64
"315470",32.5781479902132,0.0380623111234495,0.290657648579069,37
"RON4L1",26.1806155365195,0.161250373440468,0.53467229088155,45
"GRA10",18.870455284079,0.53188362542926,0.862616766981612,54
"GRA4",16.7305765963054,0.671733937262359,0.877195591514439,178
"ROP23",20.3051691433156,0.44070137634866,0.804759035071466,26
"TLN1",30.0109161672713,0.0705040764342842,0.383599304915642,39
"GRA30",20.426056841857,0.433290670780275,0.797001817785616,113
"GRA31",25.0102006868432,0.202503713609764,0.580592536211793,114
"MYR3",596.036930150173,0,0,109
"298040",31.9324097756696,0.0446356969125006,0.310947934593856,13
"GRA11A",19.862621537908,0.468245013047369,0.82039717314401,79
"273860",14.7447706419023,0.791788278668535,0.940894620170479,39
"PPM3H",23.8742403021601,0.249508668409236,0.622536479595323,57
"ROP13",19.1791571373551,0.511858828491193,0.861477147196069,99
"GRA38",20.0114200231851,0.458914953482588,0.820188427500796,64
"321650",25.8895495029498,0.170848489620386,0.555687988035674,33
"RON4",29.2063255251671,0.084702456558249,0.414694591094329,66
"GRA5",24.9938015699867,0.203132784272151,0.580592536211793,56
"ROP10",32.399461869658,0.0397887128900527,0.294904577890979,53
"280670",26.3927094896608,0.154524199867214,0.53246142305174,26
"300220",15.5078391412138,0.747767727472827,0.914744987005594,27
"276210",13.5018997847633,0.855546671284521,0.95659613211767,7
"GRA15",21.7449045935573,0.356223073834773,0.729853628127115,103
"RON5",24.4849851523718,0.223368471829683,0.598817605330639,4
"275860",26.2055256919939,0.160448780187593,0.53467229088155,48
"271270",22.0281133691857,0.340689320166212,0.72575443061402,16
"ROP51",19.1648366342276,0.512784016188137,0.861477147196069,8
"ROP28",11.6427720917364,0.928214254119393,0.975889233489157,93
"PPM3G",12.7234723985186,0.889503649437612,0.95659613211767,72
"PI_2",12.6588588854794,0.892097655683821,0.95659613211767,12
"SUB2",39.9178642491672,0.00523813072692536,0.0528003577274076,13
"ROP33",13.6223847889175,0.849857588514121,0.95659613211767,50
"GRA17",18.9005492435024,0.529924614969964,0.862616766981612,26
"GRA22",10.7130223568625,0.953590846620142,0.988909026124591,19
"ROP38",29.9474579443759,0.0715443148056951,0.383599304915642,61
"225150",24.8258458632532,0.209658415854258,0.580592536211793,69
"GRA39",27.2206499296092,0.130355746677469,0.497888655333723,25
"CST1",22.3148972757998,0.325360933440067,0.706818579542214,80
"PPM3D",19.8538290250733,0.46879838465372,0.82039717314401,46
"254070",10.2714712520396,0.963190210443282,0.990759023377839,9
"GRA29",12.4653380512418,0.899655886158285,0.95659613211767,79
"RON3",9.45860049621176,0.977097121657457,0.990759023377839,11
"314260",17.6262890407051,0.613490733777088,0.869300368129193,60
"ROP14",12.6958864123238,0.890615426322192,0.95659613211767,21
"234540",36.7856059680873,0.0126579663659119,0.109993362903786,15
"210820",28.9924085776654,0.0888631266630705,0.414694591094329,8
"321700",13.9005348084778,0.836301236318333,0.95659613211767,15
"209170",23.7222161562173,0.256330500846883,0.627138701101112,74
"CST9",13.5916400858062,0.851319968411253,0.95659613211767,32
"215360",16.3566984903315,0.695539860643708,0.886363185263344,10
"236870",27.0827124514151,0.134157295814288,0.504591620077622,61
"285290",18.9737180585002,0.525167377560915,0.862616766981612,63
"299780",14.9419119486066,0.780728595141301,0.936874314169562,20
"229500",22.1964818767818,0.331640368183003,0.714302331471083,40
"BRP1",23.4968828606204,0.266672584047372,0.627404583659229,52
"269920",17.4989417160899,0.62183927730436,0.869300368129193,54
"248990",24.2751268314195,0.232121991746273,0.599762104430201,28
"297410",20.1801859106887,0.448416148332678,0.80714906699882,37
"CPC2",18.0638253146043,0.584740422105456,0.862616766981612,43
"277720",45.1014872446002,0.00110278581344092,0.0138951012493556,18
"GRA47_CST2",16.7078437625292,0.673192296170641,0.877195591514439,106
"318525",29.4533702916639,0.0801042783778262,0.41196486022882,59
"MAF1B",60.6525609401865,5.98262426698692e-06,9.42263322050441e-05,131
"225860",18.4696690643598,0.558082182920551,0.862616766981612,24
"200360",13.3921420439584,0.86063063878178,0.95659613211767,53
"235130",38.245824694296,0.00844070202490388,0.0787798855657695,30
"279420",17.9105897190834,0.594815632326368,0.862616766981612,40
"GRA32",16.4514971644094,0.689542070713184,0.886363185263344,27
"288000",16.8841127038713,0.661852023235387,0.877195591514439,32
"GRA37",16.9613486715276,0.656861189306165,0.877195591514439,16
"279350",15.1706907666569,0.767611042142346,0.929990301057073,39
"GRA40",17.4439748785869,0.625438101018168,0.869300368129193,67
"310740",21.2790969472591,0.382591842740388,0.735978201302121,28
"254080",21.124266299655,0.391571958244564,0.747546465739623,15
"SRS42",30.1724271630367,0.0679151506901463,0.380324843864819,17
"266435",17.466415342423,0.623969240657564,0.869300368129193,18
"306890",15.9898441058592,0.718463998235721,0.887514350761773,24
"BPK1",24.8572376334919,0.208427252662637,0.580592536211793,45
"GRA28",109.731453873638,2.68673971959288e-14,7.52287121486006e-13,63
"259830",17.2333098346689,0.639197900791341,0.875423211953358,36
"258870",24.3056068981291,0.230835786294183,0.599762104430201,51
"280480",20.7651569152446,0.412788889730188,0.77628955382095,4
"ROP35_WNG1",24.5675664653243,0.219989312879756,0.596100073609661,17
"246178",25.8555222247464,0.171998662963423,0.555687988035674,19
"SFP1",13.0392414633809,0.87632514020394,0.95659613211767,38
"MYR4",100.240625225646,1.34892097491957e-12,3.3992808567973e-11,23
"NUP67",22.5557732050452,0.312807286087985,0.69307465333375,7
"ROP18",27.3791010070577,0.126096544150613,0.497888655333723,62
"297900",7.92249893937349,0.992415376056467,0.995236502754914,25
"RON8",11.6039720661022,0.929418317608721,0.975889233489157,15
"320630",25.0901393924661,0.199457803199907,0.580592536211793,60
"321710",22.5416763099398,0.31353377174622,0.69307465333375,37
"304720",9.35603509569061,0.978532415728681,0.990759023377839,12
"254880",20.8882581843516,0.405456319916716,0.768233027210621,8
"GRA48",18.2270159140592,0.574012833186479,0.862616766981612,29
"ROP26",25.4085846754618,0.187660570235406,0.580592536211793,31
"228760",13.1332713822745,0.872241820080883,0.95659613211767,11
"RASP2",14.3423298587657,0.813610152710542,0.950006240522077,21
