"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"ROP17",14.0389551544947,0.828998620658727,0.986267717893663,68,"Non-significant"
"GRA24",13.0355228428986,0.876223687084135,0.989159184530535,244,"Non-significant"
"MSF",17.1159175756576,0.646255555536988,0.965245866377397,84,"Non-significant"
"297910",28.1884997104501,0.105630050973757,0.681277750820221,97,"Non-significant"
"262920",15.1266967152657,0.769723341621606,0.986267717893663,39,"Non-significant"
"ROP34_WNG2",20.0455836838186,0.456076212923427,0.951779468228925,345,"Non-significant"
"ROP29",15.2648176642863,0.761686052701312,0.986267717893663,199,"Non-significant"
"280380",16.3246080436525,0.697036460665513,0.984375179715827,216,"Non-significant"
"ROP1",32.6665303704326,0.0370086432708361,0.528486653050029,294,"Non-significant"
"ROP9",10.5266132211043,0.957728867736803,0.999019044037624,114,"Non-significant"
"RON6",19.6021224742615,0.484034708669729,0.951779468228925,96,"Non-significant"
"ROP54",31.4478456741933,0.0499357467448847,0.528486653050029,95,"Non-significant"
"GRA46",16.9822318548441,0.654935975410566,0.965245866377397,145,"Non-significant"
"222100",19.0849280157586,0.517272210629954,0.951779468228925,237,"Non-significant"
"ROP45",13.7194270428643,0.844878074477368,0.986267717893663,228,"Non-significant"
"MCP4",24.1409566524578,0.237197782267228,0.86068909565537,204,"Non-significant"
"GRA45",21.9474016144536,0.344368549483439,0.947008314013869,96,"Non-significant"
"GRA8",15.890313072569,0.724102376277491,0.984375179715827,171,"Non-significant"
"MAG1",21.9441814010074,0.34454421070763,0.947008314013869,71,"Non-significant"
"309760",23.3472572193637,0.273016621878004,0.877800277936873,346,"Non-significant"
"GRA7",32.114789891841,0.0424367200280061,0.528486653050029,331,"Non-significant"
"GRA54",31.564550070938,0.0485445361957741,0.528486653050029,205,"Non-significant"
"GRA18",17.6811039080875,0.609276287263584,0.956155688841696,262,"Non-significant"
"205360",16.6174732792824,0.678428137376321,0.979095152804464,89,"Non-significant"
"269950",11.0762039394808,0.944403642847825,0.999019044037624,17,"Non-significant"
"ROP48",15.901297484629,0.723426677392544,0.984375179715827,147,"Non-significant"
