"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh"
"GRA3","TGME49_227280",-2.43030481570376,0.677,0.969,0,0
"GRA3","TGME49_239330",-0.224382996142193,0.999,1,1.522738639638e-23,6.22114871224105e-20
"GRA3","TGME49_211010",-0.238517180277503,0.611,0.673,5.59007248239606e-12,1.52254940845527e-08
"GRA3","TGME49_249250",-0.105490073813048,1,1,6.51391798513384e-11,1.33063059641322e-07
"GRA3","TGME49_215220",-0.278804294871776,0.949,0.959,2.5852709727882e-10,4.22484982373048e-07
"GRA3","TGME49_291140",-0.172713302570406,0.598,0.672,7.34540652405367e-10,1.00032194513404e-06
"GRA3","TGME49_211030",0.127900176785305,0.959,0.942,9.01171573513508e-10,1.0519247038827e-06
"GRA3","TGME49_330000",-0.150800943451261,0.213,0.287,1.67603105670897e-09,1.71185622054612e-06
"GRA3","TGME49_242340",-0.0711353535377723,1,1,5.49775120213364e-09,4.99134723029267e-06
"GRA3","TGME49_209850",-0.182724488994342,0.458,0.533,6.83445674395587e-09,5.58443460548634e-06
"GRA3","TGME49_233460",0.0858994493133221,1,1,9.15011264328834e-09,6.796870037119e-06
"GRA3","TGME49_231080",-0.109178355584644,1,1,1.04917101289197e-08,7.1439802886169e-06
"GRA3","TGME49_241240",-0.17346350603954,0.787,0.819,1.68566857156695e-08,1.02945783824127e-05
"GRA3","TGME49_260260",-0.118554895920466,1,0.999,1.76384894570772e-08,1.02945783824127e-05
"GRA3","TGME49_259240",-0.101076252703647,1,1,2.99355221489606e-08,1.63068767652771e-05
"GRA3","TGME49_254720",0.114936917275584,0.993,0.983,4.00142223118327e-08,2.0434763156874e-05
"GRA3","TGME49_297810",0.0963823864594473,0.992,0.983,5.11016043526783e-08,2.45618358332785e-05
"GRA3","TGME49_257350",-0.127930941164756,0.861,0.899,6.93118974618129e-08,3.1463750786693e-05
"GRA3","TGME49_268720",0.0865018725333399,0.307,0.239,9.96903152701796e-08,4.28720824248757e-05
"GRA3","TGME49_231850",0.109077185781261,0.986,0.984,2.64754164494378e-07,0.000108165313904178
"GRA3","TGME49_228170",-0.149175152878849,0.588,0.654,3.96333456069706e-07,0.000154211460454551
"GRA3","TGME49_243730",0.167332523437807,0.927,0.914,5.56535369872597e-07,0.000206702295783136
"GRA3","TGME49_201840",0.0491198246885114,0.122,0.082,6.83126416104716e-07,0.000242688084608332
"GRA3","TGME49_211460",-0.153246942736849,0.383,0.443,8.08122993752877e-07,0.000275132207581448
"GRA3","TGME49_248390",-0.105491586193737,1,1,1.06956893341569e-06,0.000349577910197583
"GRA3","TGME49_255060",-0.118129398442017,0.294,0.357,1.44961611366464e-06,0.000455569740952068
"GRA3","TGME49_234550",-0.0718270518324138,1,1,1.9751312445898e-06,0.00059773323702012
"GRA3","TGME49_280580",0.0390209112096336,0.041,0.021,2.15763649345497e-06,0.000629644563857878
"GRA3","TGME49_275440",0.100027302711384,0.999,0.998,2.24504275045411e-06,0.000632560148757259
"GRA3","TGME49_216130",0.112894613413904,0.751,0.694,2.67457741109641e-06,0.000704268622676956
"GRA3","TGME49_286420",0.0715442201443475,1,1,2.79025541407856e-06,0.000704268622676956
"GRA3","TGME49_292200",-0.108475743490071,0.312,0.374,2.82331163296758e-06,0.000704268622676956
"GRA3","TGME49_294870",-0.107469672961833,0.698,0.746,2.84431092257246e-06,0.000704268622676956
"GRA3","TGME49_205340",-0.0845702333567244,1,1,3.36376147986276e-06,0.000808391030939959
"GRA3","TGME49_220950",0.133796647115535,0.976,0.964,3.49398699602685e-06,0.000815696221272439
"GRA3","TGME49_243980",-0.0927328830222741,0.139,0.19,3.69925067673e-06,0.000827581451624271
"GRA3","TGME49_287180",-0.120128946493422,0.265,0.324,3.83652150285121e-06,0.000827581451624271
"GRA3","TGME49_320740",0.210101029041172,0.532,0.479,3.84874497145053e-06,0.000827581451624271
"GRA3","TGME49_209030",0.147180960835483,1,1,4.05358626195378e-06,0.000849278290933958
"GRA3","TGME49_205500",-0.136623241064042,0.507,0.562,5.5517144285772e-06,0.00113407646489761
"GRA3","TGME49_306390",0.0779690430922044,0.966,0.952,6.26481891416094e-06,0.00124853256945388
