"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh"
"ROP17","TGME49_258580",-0.605526064474075,0.471,0.496,0.208530817403553,0.387712853098457
"GRA24","TGME49_230180",0.126527989281284,0.533,0.449,0.0253254145892913,0.0707812125238206
"MSF","TGME49_201180",0.361088549450716,0.202,0.09,0.000187283449338984,0.000878998360689375
"297910","TGME49_297910",0.155561939715726,0.093,0.039,0.0056298514032779,0.0190958473273345
"262920","TGME49_262920",-0.0921417019733713,0.051,0.103,0.279032202592088,0.467261286875528
"ROP34_WNG2","TGME49_240090",-0.0341315886892182,0.441,0.449,0.741979108531053,0.831414090362921
"280380","TGME49_280380",-0.309049309089295,0.699,0.873,2.92875860920751e-14,4.08399117172825e-13
"ROP1","TGME49_309590",-0.161345016083789,0.711,0.74,0.681504321471297,0.788283800411501
"ROP9","TGME49_243730",-0.399298785075182,0.772,0.915,2.78385246286276e-06,1.79165889276552e-05
"RON6","TGME49_297960",0.0753585959822842,0.323,0.333,0.927397976763235,0.982180979610008
"ROP54","TGME49_210370",0.256573642123151,0.516,0.367,0.00680800247186729,0.022491762493533
"GRA46","TGME49_208370",0.0861055135205688,0.352,0.323,0.51399200510296,0.67193746500439
"222100","TGME49_222100",0.336732093013588,0.262,0.158,4.36899321133507e-06,2.61099356201215e-05
"ROP45","TGME49_281675",-0.00296351610052648,0.132,0.129,0.938847415927146,0.990128997469385
"MCP4","TGME49_208730",0.735865762094541,0.284,0.115,1.52155120365174e-15,2.38693345072866e-14
"GRA45","TGME49_316250",1.09255486235964,0.531,0.425,0.000608756852727404,0.00268066614095752
"GRA8","TGME49_254720",-0.951648997501752,0.673,0.986,1.22162285785325e-40,3.83284171651456e-39
"MAG1","TGME49_270240",-0.188588478264018,0.887,0.983,0.0284370381950089,0.0784362262301893
"309760","TGME49_309760",0.201063573029286,0.607,0.64,0.310478853442502,0.499552514192744
"GRA7","TGME49_203310",-1.6862120755674,0.725,0.978,1.14961224467855e-73,7.21381683535792e-72
"GRA54","TGME49_204340",0.108743351152881,0.361,0.514,0.00278181212019193,0.0109099194088777
"GRA18","TGME49_288840",0.527843547975154,0.427,0.39,0.0205973449463188,0.0601155067619304
"205360","TGME49_205360",0.197573648518506,0.191,0.191,0.847988506632793,0.929454651374808
"269950","TGME49_269950",-0.449211770831114,0.471,0.738,0.0425188834808131,0.106722397536841
"ROP48","TGME49_218270",0.0837580809523528,0.102,0.049,0.00313620432421359,0.0115762836084943
"GRA35","TGME49_226380",-0.0037684047313995,0.295,0.422,0.00842753839746515,0.0274715862047241
"GRA2","TGME49_227620",-0.903221834184629,0.851,0.998,8.85935800463375e-68,4.44739771832614e-66
"225330","TGME49_225330",0.146844299017111,0.232,0.177,0.0370420971773535,0.0999738321668357
"GRA16","TGME49_208830",-0.680508024911063,0.592,0.736,1.25154024009747e-05,7.13946818782877e-05
