target,gene.set,mean.score,mean.score.z,auc,p.value,p.value.bh
200360,PID_A6B1_A6B4_INTEGRIN_PATHWAY,1.317764628,0.448135053,0.52331387,0.482125785,0.911764579
200360,PID_AJDISS_2PATHWAY,0.883097784,0.372099586,0.502166949,0.94791654,0.995080825
200360,PID_ALK1_PATHWAY,0.973696998,1.088606947,0.53405546,0.304543495,0.843810929
200360,PID_ALK2_PATHWAY,1.20382547,1.654065253,0.555696548,0.093112726,0.657560352
200360,PID_ALPHA_SYNUCLEIN_PATHWAY,1.001319809,-1.227338966,0.469322481,0.355019852,0.87038818
200360,PID_AMB2_NEUTROPHILS_PATHWAY,1.519143478,1.341126877,0.538989742,0.239793238,0.81307612
200360,PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,1.191358033,0.04334396,0.4970066,0.928096292,0.993173421
200360,PID_ANTHRAX_PATHWAY,0.692168364,0.264927723,0.508889318,0.788700934,0.974423344
200360,PID_AP1_PATHWAY,1.136439599,-0.141091875,0.490868711,0.783091021,0.973309981
200360,PID_ARF6_DOWNSTREAM_PATHWAY,1.294980697,-0.312667734,0.493587195,0.846698308,0.983805234
200360,PID_ARF6_PATHWAY,0.37937812,-0.441282574,0.494872028,0.877139776,0.988784567
200360,PID_ARF6_TRAFFICKING_PATHWAY,0.951135595,-0.209131522,0.492601702,0.823500686,0.97991498
200360,PID_ARF_3PATHWAY,1.569529747,-0.225562434,0.469098686,0.351520766,0.868516098
200360,PID_AR_NONGENOMIC_PATHWAY,0.871087701,0.24279899,0.507961762,0.810304865,0.97787223
200360,PID_AR_PATHWAY,1.176433309,0.487776325,0.514468856,0.66267936,0.950115026
200360,PID_AR_TF_PATHWAY,0.986991773,0.767501715,0.536684767,0.268721999,0.829234918
200360,PID_ATF2_PATHWAY,0.852558233,-1.662877645,0.434849535,0.049503367,0.549760312
200360,PID_ATM_PATHWAY,0.710007802,1.001451802,0.539481636,0.233915138,0.807818337
200360,PID_ATR_PATHWAY,0.523066007,0.514247693,0.524664024,0.457122267,0.905430623
200360,PID_AURORA_A_PATHWAY,0.765452065,-0.761900558,0.466131982,0.307212984,0.844218692
200360,PID_AURORA_B_PATHWAY,1.004961843,-0.422004782,0.479562521,0.537784601,0.925418596
200360,PID_AVB3_INTEGRIN_PATHWAY,1.501299698,0.22140627,0.519910936,0.548311872,0.92756093
200360,PID_AVB3_OPN_PATHWAY,1.211305283,-1.144649687,0.449306463,0.126422025,0.711544766
200360,PID_BARD1_PATHWAY,0.973368906,-0.030382575,0.471179297,0.384893827,0.880665718
200360,PID_BCR_5PATHWAY,0.719919811,-0.615657492,0.481194974,0.570748652,0.930753156
200360,PID_BETA_CATENIN_DEG_PATHWAY,0.769071667,-0.522048827,0.483615254,0.6213206,0.940966132
200360,PID_BETA_CATENIN_NUC_PATHWAY,1.020141152,1.261068294,0.546911743,0.157260245,0.747990089
200360,PID_BMP_PATHWAY,0.591911293,0.096040812,0.515181138,0.647173968,0.946786019
200360,PID_CASPASE_PATHWAY,0.928104669,0.306134294,0.497961421,0.950998355,0.995090336
200360,PID_CD40_PATHWAY,0.720277526,1.147665819,0.538865348,0.241296088,0.813452316
200360,PID_CD8_TCR_DOWNSTREAM_PATHWAY,1.150153545,0.078401755,0.499050859,0.977177762,0.997772152
200360,PID_CD8_TCR_PATHWAY,0.887388462,-0.290552365,0.49623127,0.90954228,0.99243044
200360,PID_CDC42_PATHWAY,1.040411364,-0.766984445,0.467219149,0.323000739,0.850394764
200360,PID_CDC42_REG_PATHWAY,0.593097482,0.177232673,0.499004851,0.97607147,0.997761355
200360,PID_CERAMIDE_PATHWAY,0.849243035,0.749188539,0.519021437,0.56632387,0.930450562
200360,PID_CIRCADIAN_PATHWAY,0.43561223,-0.19918917,0.472356777,0.404611013,0.889177685
200360,PID_CMYB_PATHWAY,1.087238618,1.765475055,0.564077499,0.053374152,0.560958107
200360,PID_CONE_PATHWAY,-0.22718679,-0.890192036,0.469781999,0.362273158,0.873228656
200360,PID_CXCR3_PATHWAY,0.635272626,0.877352835,0.526953662,0.41643326,0.893325618
200360,PID_CXCR4_PATHWAY,0.896166569,-0.634722445,0.461966215,0.251512927,0.817702468
200360,PID_DELTA_NP63_PATHWAY,0.99670397,1.115045315,0.534929056,0.292305691,0.837599464
200360,PID_DNA_PK_PATHWAY,1.047038108,0.559103541,0.525249639,0.446507957,0.901931427
200360,PID_E2F_PATHWAY,0.641636661,0.454923155,0.508433208,0.799305117,0.976030766
200360,PID_ECADHERIN_KERATINOCYTE_PATHWAY,1.166984894,0.449686155,0.510876776,0.742973419,0.965737995
200360,PID_ECADHERIN_NASCENT_AJ_PATHWAY,1.328136112,0.348302771,0.503040544,0.926966879,0.993088539
200360,PID_ECADHERIN_STABILIZATION_PATHWAY,1.362543965,1.438685926,0.551061038,0.123695808,0.709497763
200360,PID_ENDOTHELIN_PATHWAY,0.872710432,-0.07285772,0.498986675,0.97563443,0.997728875
200360,PID_EPHA2_FWD_PATHWAY,1.019003429,-1.239320008,0.453294444,0.159092599,0.748504144
200360,PID_EPHA_FWDPATHWAY,0.735372658,-0.071728216,0.496762357,0.922246736,0.993029144
200360,PID_EPHB_FWD_PATHWAY,0.830269725,-1.767848291,0.43583446,0.053047294,0.560629309
200360,PID_EPHRINB_REV_PATHWAY,0.626789146,-0.784233285,0.475649517,0.462862946,0.906609153
200360,PID_EPO_PATHWAY,0.612930978,0.310368564,0.511986663,0.717814948,0.960501388
200360,PID_ERA_GENOMIC_PATHWAY,1.047876099,0.452523466,0.515103321,0.648860661,0.946786019
200360,PID_ERBB1_DOWNSTREAM_PATHWAY,1.101507214,-0.479443446,0.48416679,0.633112063,0.943929327
200360,PID_ERBB1_INTERNALIZATION_PATHWAY,0.781553953,-0.617051413,0.478420825,0.515312588,0.921102499
200360,PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,0.872823983,0.343719668,0.514455792,0.66296513,0.950272628
200360,PID_ERBB2_ERBB3_PATHWAY,0.833508235,-0.159411986,0.492181944,0.813665373,0.97802265
200360,PID_ERBB4_PATHWAY,0.6920222,0.993110533,0.528241335,0.394521028,0.885588741
200360,PID_ERBB_NETWORK_PATHWAY,0.786482172,1.431157589,0.55740625,0.083496708,0.644404895
200360,PID_ERB_GENOMIC_PATHWAY,0.896896637,0.416430832,0.519483795,0.556925925,0.928349592
200360,PID_ER_NONGENOMIC_PATHWAY,0.864965509,0.746977443,0.518435253,0.578346984,0.932259795
200360,PID_FAK_PATHWAY,1.309895456,-0.653976836,0.473887557,0.431128179,0.899444881
200360,PID_FANCONI_PATHWAY,0.260469466,0.187182826,0.500636168,0.984704331,0.999189684
200360,PID_FAS_PATHWAY,0.506304175,0.468033911,0.505237598,0.874534662,0.988588967
200360,PID_FCER1_PATHWAY,0.892809247,-0.497936102,0.479405751,0.53466999,0.924425082
200360,PID_FGF_PATHWAY,0.695468289,0.371361197,0.518224522,0.582698384,0.932976373
200360,PID_FOXM1_PATHWAY,0.443769531,0.459692818,0.512660888,0.702677972,0.958408199
200360,PID_FOXO_PATHWAY,1.12766336,0.46517813,0.511619162,0.726113028,0.96246275
200360,PID_FRA_PATHWAY,1.050269874,-0.51176369,0.479794836,0.542416785,0.92708312
200360,PID_GLYPICAN_1PATHWAY,1.374601923,0.51538809,0.502492985,0.940092882,0.994469181
200360,PID_GMCSF_PATHWAY,1.033873977,1.320836263,0.546039851,0.165118953,0.753584078
200360,PID_HDAC_CLASSIII_PATHWAY,1.030657427,0.345051206,0.511761732,0.722889954,0.961791603
200360,PID_HDAC_CLASSII_PATHWAY,1.164948815,-0.251372463,0.483620934,0.621441549,0.940966132
200360,PID_HDAC_CLASSI_PATHWAY,0.841864867,0.371660113,0.496067684,0.905633538,0.991846893
200360,PID_HEDGEHOG_2PATHWAY,0.220763855,-1.120102061,0.457761255,0.202855274,0.785037337
200360,PID_HEDGEHOG_GLI_PATHWAY,0.843105587,1.207379553,0.536289434,0.273914879,0.830592775
200360,PID_HES_HEY_PATHWAY,1.042134244,0.05999481,0.496061436,0.905484291,0.991845925
200360,PID_HIF1A_PATHWAY,1.746552325,-0.353466758,0.492724391,0.826380736,0.980330443
200360,PID_HIF1_TFPATHWAY,1.031232903,-0.03619269,0.493149829,0.836385445,0.982120383
200360,PID_HIF2PATHWAY,1.0402096,-0.538394333,0.490844854,0.782538537,0.973309981
200360,PID_HIV_NEF_PATHWAY,0.685610708,0.515763222,0.513277176,0.68894394,0.956756316
200360,PID_HNF3A_PATHWAY,0.996559164,0.757303597,0.539723608,0.231061377,0.805918896
200360,PID_HNF3B_PATHWAY,0.877107807,-0.057374078,0.498585093,0.96598066,0.996710461
200360,PID_IFNG_PATHWAY,0.699682755,-0.358317323,0.489458916,0.750638592,0.967737211
200360,PID_IGF1_PATHWAY,1.145486661,-0.461805358,0.487220398,0.700024703,0.957150816
200360,PID_IL12_2PATHWAY,0.870932575,0.110807163,0.518902155,0.56876069,0.930469028
